country,ccodealp,year,wdi_internet,wdi_gdpcapcon2015,undp_hdi,vdem_libdem,ti_cpi,freedom_score,freedom_status
Angola,AGO,2013-01-01,13.0,3716.297187272817,0.567,0.123,23.0,66,2
Angola,AGO,2014-01-01,21.3623,3746.816199786131,0.577,0.123,19.0,62,2
Angola,AGO,2015-01-01,22.0,3641.72893919944,0.603,0.123,15.0,61,2
Angola,AGO,2016-01-01,23.2,3454.0331718711896,0.609,0.124,18.0,60,2
Angola,AGO,2017-01-01,26.0,3328.898212410897,0.61,0.142,19.0,60,2
Angola,AGO,2018-01-01,29.0,3196.790069835574,0.611,0.162,19.0,60,2
Angola,AGO,2019-01-01,32.1294,3083.9753442735705,0.611,0.162,26.0,64,2
Angola,AGO,2020-01-01,36.6347,2864.1614603689254,0.61,0.16,27.0,62,2
Angola,AGO,2021-01-01,39.3876,2832.817771322862,0.609,0.153,29.0,62,2
Angola,AGO,2022-01-01,42.0719,2860.9025192224644,0.615,0.154,33.0,61,2
Azerbaijan,AZE,2011-01-01,50.0,5149.206659132063,0.746,0.068,38.0,52,2
Azerbaijan,AZE,2012-01-01,54.2,5193.175011195519,0.751,0.068,27.0,50,2
Azerbaijan,AZE,2013-01-01,73.0,5425.995597805777,0.757,0.068,28.0,48,2
Azerbaijan,AZE,2014-01-01,75.0,5508.602656126762,0.766,0.065,29.0,45,2
Azerbaijan,AZE,2015-01-01,77.0,5500.503646284862,0.771,0.064,29.0,44,2
Azerbaijan,AZE,2016-01-01,78.2,5272.718171418611,0.772,0.061,30.0,43,2
Azerbaijan,AZE,2017-01-01,79.0,5229.252599934125,0.774,0.067,31.0,42,2
Azerbaijan,AZE,2018-01-01,79.8,5261.929382344318,0.775,0.059,25.0,40,2
Azerbaijan,AZE,2019-01-01,81.1,5346.953186041143,0.78,0.062,30.0,39,1
Azerbaijan,AZE,2020-01-01,84.6,5087.5002278362745,0.757,0.065,30.0,38,1
Azerbaijan,AZE,2021-01-01,86.0,5349.582260714248,0.765,0.065,30.0,35,1
Azerbaijan,AZE,2022-01-01,88.0,5599.585249710247,0.784,0.062,23.0,38,1
Argentina,ARG,2012-01-01,55.8,13754.42542355963,0.85,0.589,35.0,74,0
Argentina,ARG,2013-01-01,59.9,13946.095083225156,0.852,0.594,34.0,73,0
Argentina,ARG,2014-01-01,64.7,13456.13191591506,0.855,0.604,34.0,73,0
Argentina,ARG,2015-01-01,68.0431,13679.626498095417,0.859,0.601,32.0,73,0
Argentina,ARG,2016-01-01,70.969,13265.886063912343,0.857,0.616,36.0,73,0
Argentina,ARG,2017-01-01,74.2949,13520.112984615893,0.861,0.612,39.0,73,0
Argentina,ARG,2018-01-01,77.7,13058.328544995426,0.861,0.637,40.0,72,0
Argentina,ARG,2019-01-01,79.947,12706.39781089676,0.861,0.626,45.0,72,0
Argentina,ARG,2020-01-01,85.5144,11393.050595787674,0.851,0.644,42.0,71,0
Argentina,ARG,2021-01-01,87.1507,12549.281169934176,0.847,0.64,38.0,71,0
Argentina,ARG,2022-01-01,88.3754,13276.823211018853,0.858,0.661,38.0,71,0
Australia,AUS,2011-01-01,79.4877,54296.23213248142,0.933,0.864,38.0,83,0
